id;title;description;long_description;icon;difficulty;target_audience;category;mode;system_prompt;question_generation_prompt;feedback_prompt;tips;input_configuration;question_count_min;question_count_max;time_limit_per_question;allow_retry;allow_custom_variables;is_active;sort_order
1;"Bewerbungsgespräch (General)";"Souveränität bei Standard- und Stressfragen.";"**Dein Szenario:**\nDu sitzt im finalen Interview bei ${company}. Der HR-Manager prüft dich auf Herz und Nieren – fachlich und menschlich.\n\n**Deine Mission:**\nÜberzeuge nicht nur mit Fachwissen, sondern auch mit Persönlichkeit. Nutze Storytelling und die STAR-Methode, um abstrakte Skills belegbar zu machen.\n\n**Dein Lernziel:**\nStrukturierte Antworten und authentische Selbstvermarktung.";briefcase;intermediate;karriere-placement;"[""karriere""]";INTERVIEW;"Du bist ein erfahrener HR-Manager bei ${company}. Du führst ein Interview für die Position ${role}.\n\nDein Ziel: Prüfe Fachwissen, Cultural Fit und Motivation.\nPasse deinen Anspruch an das Level '${level}' an (Junior = fördernd, Senior = fordernd).";"Generiere Fragen in dieser Reihenfolge:\n1. Einstieg & Vorstellung\n2. Motivation für ${company}\n3. Fachliche Eignung für ${role}\n4. Stärken/Schwächen\n5. Abschluss";"Bewerte Struktur (STAR-Methode), Motivation und Authentizität. Wurde der Bezug zu ${company} hergestellt?";"[{""icon"":""check"",""text"":""Nutze die STAR-Methode: Situation, Task, Action, Result.""},{""icon"":""x"",""text"":""Vermeide Floskeln wie 'Ich bin zu perfektionistisch'.""},{""icon"":""zap"",""text"":""Stelle am Ende eigene, intelligente Rückfragen.""}]";"[{""key"":""role"",""label"":""Zielposition"",""type"":""text"",""required"":true},{""key"":""company"",""label"":""Unternehmen"",""type"":""text"",""required"":true},{""key"":""level"",""label"":""Seniorität"",""type"":""select"",""options"":[{""value"":""junior"",""label"":""Junior / Einstieg""},{""value"":""mid"",""label"":""Professional""},{""value"":""senior"",""label"":""Senior / Lead""}]}]";6;8;120;1;0;1;10
2;"Gehaltsverhandlung";"Strategien für Budget-Einwände und ROI-Argumentation.";"**Dein Szenario:**\nDein Vorgesetzter signalisiert bereits: 'Das Budget ist eng'. Die Atmosphäre ist kühl, aber du weißt, was du wert bist.\n\n**Deine Mission:**\nArgumentiere nicht mit deinem Bedarf ('Ich brauche Geld'), sondern mit deinem Wert (ROI). Bleibe hartnäckig, wenn das erste 'Nein' kommt.\n\n**Dein Lernziel:**\nEinwände entkräften und den eigenen Marktwert souverän verteidigen.";trending-up;advanced;karriere-placement;"[""karriere""]";INTERVIEW;"Du bist die Führungskraft (Budgetverantwortlicher). Ein Mitarbeiter (${position}) will mehr Gehalt.\nAktuell: ${current_salary}, Wunsch: ${target_salary}.\n\nDu bist fair aber hart. Du hast Budgetdruck. Akzeptiere nur harte Fakten (Leistung, Marktwert).";"Simuliere die Verhandlung:\n1. Frage nach der Vorstellung\n2. Reagiere geschockt/zurückhaltend auf die Summe\n3. Bringe Einwände ('Budget ist dicht', 'Vergleichsgruppe verdient weniger')\n4. Lass dich nur bei guten Argumenten weichklopfen.";"Bewerte die Argumentation: Wurde der Mehrwert für die Firma betont? Blieb der User sachlich?";"[{""icon"":""zap"",""text"":""Setze einen krummen Anker (z.B. 64.500 €) statt runder Summen.""},{""icon"":""mic-off"",""text"":""Halte das Schweigen aus, nachdem du deine Forderung genannt hast.""},{""icon"":""x"",""text"":""Argumentiere niemals mit privaten Kosten (Miete, Auto).""}]";"[{""key"":""position"",""label"":""Deine Position"",""type"":""text"",""required"":true},{""key"":""current_salary"",""label"":""Aktuelles Gehalt"",""type"":""text"",""required"":true},{""key"":""target_salary"",""label"":""Wunschgehalt"",""type"":""text"",""required"":true}]";5;7;90;1;0;1;20
3;"Selbstpräsentation (Pitch)";"Die perfekte Antwort auf 'Erzählen Sie etwas über sich'.";"**Dein Szenario:**\nDer klassische Einstieg ins Interview. Der Recruiter lehnt sich zurück und gibt dir das Wort.\n\n**Deine Mission:**\nFasse deinen Werdegang in 2 Minuten zusammen. Struktur: Vergangenheit (Background) → Gegenwart (Status) → Zukunft (Warum hier?).\n\n**Dein Lernziel:**\nRelevanz filtern und Storytelling auf den Punkt bringen.";user;beginner;karriere-placement;"[""karriere""]";INTERVIEW;"Du bist Recruiter. Du stellst die klassische Einstiegsfrage.\nDu achtest auf Struktur (Vergangenheit, Gegenwart, Zukunft) und Relevanz.";"Stelle nur eine Frage: 'Schön, dass Sie da sind. Erzählen Sie uns doch kurz etwas über sich und Ihren Werdegang.'";"Wurde die Zeit eingehalten (unter 2 Min)? War die Struktur klar? Wurde die Relevanz für die Stelle deutlich?";"[{""icon"":""check"",""text"":""Struktur: Background → Status → Ziel.""},{""icon"":""x"",""text"":""Keine bloße Nacherzählung des Lebenslaufs.""},{""icon"":""info"",""text"":""Fokussiere dich auf die 3 Highlights, die für DIESE Stelle zählen.""}]";"[]";1;1;120;1;0;1;25
4;"Lücke im Lebenslauf erklären";"Framing von Schwachstellen im CV.";"**Dein Szenario:**\nDer Recruiter hat eine Lücke von ${gap_duration} in deinem Lebenslauf entdeckt. Er bohrt aggressiv nach.\n\n**Deine Mission:**\nRechtfertige dich nicht. Frame die Lücke als bewusste Phase (Neuorientierung, Pflege, Weiterbildung). Zeige das Learning.\n\n**Dein Lernziel:**\nSelbstbewusster Umgang mit vermeintlichen 'Makeln'.";alert-circle;intermediate;karriere-placement;"[""karriere""]";INTERVIEW;"Du bist ein kritischer Recruiter. Du hast eine Lücke von ${gap_duration} im Lebenslauf entdeckt.\nGrund laut User: ${gap_reason}.\n\nDu bist skeptisch. War das 'Selbstfindung' oder Faulheit? Prüfe, ob der Kandidat die Zeit sinnvoll genutzt hat.";"Fokussiere das Gespräch nur auf diese Lücke.\nFrage 1: 'Mir fällt hier diese Lücke auf. Was haben Sie da gemacht?'\nFolgefragen: Bohre tief nach. Frage nach konkreten Learnings. Stress den Kandidaten leicht.";"Wurde die Lücke proaktiv und positiv erklärt? Wurde sie als Lernphase geframed?";"[{""icon"":""x"",""text"":""Niemals lügen.""},{""icon"":""check"",""text"":""Frame 'Lücke' als 'Phase' (z.B. Neuorientierung).""},{""icon"":""zap"",""text"":""Betone das Ergebnis/Learning dieser Phase.""}]";"[{""key"":""gap_duration"",""label"":""Dauer der Lücke"",""type"":""text"",""placeholder"":""z.B. 9 Monate""},{""key"":""gap_reason"",""label"":""Hintergrund"",""type"":""select"",""options"":[{""value"":""travel"",""label"":""Reisen / Sabbatical""},{""value"":""care"",""label"":""Pflege / Familie""},{""value"":""unemployed"",""label"":""Arbeitsuchend / Orientierung""}]}]";4;6;60;1;0;1;30
5;"Elevator Pitch (30 Sek)";"Interesse wecken in kürzester Zeit.";"**Dein Szenario:**\nDu triffst den CEO im Aufzug. Die Türen schließen sich – du hast 45 Sekunden.\n\n**Deine Mission:**\nHook (Interesse wecken) → Value (Nutzen kommunizieren) → Ask (Call to Action).\n\n**Dein Lernziel:**\nMaximale Prägnanz und Überzeugungskraft unter Zeitdruck.";zap;beginner;"karriere-placement; corporate-essentials";"[""karriere"",""kommunikation""]";SIMULATION;"Du bist ein wichtiger Entscheidungsträger (CEO/Investor) im Aufzug.\nDer User spricht dich an.\n\nSzenario-Ablauf (User muss Interesse wecken):\n1. Desinteresse: Du schaust aufs Handy.\n2. Skepsis: 'Was wollen Sie genau?'\n3. Interesse: 'Klingt spannend, erzählen Sie mehr.'\n4. Abschluss: Visitenkarte geben.";"Generiere exakt diese 4 Reaktionen nacheinander. Der User muss dich von 1 (kalt) zu 4 (heiß) führen.";"War der Pitch unter 45 Sekunden? Gab es einen klaren Hook? War der USP verständlich?";"[{""icon"":""zap"",""text"":""Starte mit einem Hook, nicht mit deinem Namen.""},{""icon"":""check"",""text"":""Rede über den Nutzen für IHN.""},{""icon"":""target"",""text"":""Beende mit Call to Action ('Darf ich anrufen?').""}]";"[{""key"":""role"",""label"":""Deine Rolle"",""type"":""text"",""required"":true,""placeholder"":""z.B. Startup-Gründer""},{""key"":""target_person"",""label"":""Zielperson"",""type"":""text"",""required"":false,""placeholder"":""z.B. CEO von TechCorp""}]";4;4;60;1;0;1;35
6;"Der perfekte Gesprächseinstieg";"Networking ohne Floskeln.";"**Dein Szenario:**\nDu stehst am Buffet neben einer interessanten Person. Die Gelegenheit ist perfekt.\n\n**Deine Mission:**\nStarte ein Gespräch ohne 'Und was machen Sie so?'. Finde einen situativen Einstieg (Icebreaker).\n\n**Dein Lernziel:**\nKreativer Smalltalk und natürlicher Beziehungsaufbau.";message-circle;beginner;high-performance-sales;"[""karriere"",""vertrieb"",""kommunikation""]";SIMULATION;"Du bist ein Gast auf einem Event. Du stehst am Buffet.\nDu reagierst auf Ansprache.";"Generiere 2 Szenarien:\n1. Der Langweiler: Reagiere genervt auf 'Wie gehts?'. Sage: 'Muss ja.'\n2. Der Profi: Reagiere interessiert auf eine situative Frage (z.B. zum Essen). Sage: 'Ja, das Lachs-Häppchen ist super.'";"War es ein kreativer Einstieg? Kein 08/15?";"[{""icon"":""anchor"",""text"":""Nutze die Situation als Anker (Essen, Location).""},{""icon"":""help-circle"",""text"":""Stelle offene, leichte Fragen.""},{""icon"":""check"",""text"":""Achte auf offene Körpersprache.""}]";"[]";2;2;60;1;0;1;40
7;"Kaltakquise: Der Gatekeeper";"Überwindung der Vorzimmer-Barriere.";"**Dein Szenario:**\nDu rufst beim Traumkunden an, landest aber bei der Assistenz. Sie ist darauf trainiert, Verkäufer abzuwimmeln.\n\n**Deine Mission:**\nBeweise Relevanz und Augenhöhe. Verkaufe den Termin, nicht das Produkt. Behandle die Assistenz als Verbündete.\n\n**Dein Lernziel:**\nHartnäckigkeit und Pitching in Sekunden.";phone-call;advanced;high-performance-sales;"[""vertrieb""]";SIMULATION;"Du bist die erfahrene Assistenz der Geschäftsführung.\nDein Job: Verkäufer abwimmeln.\nDer User will zu ${target_person}.\n\nDu testest die Hartnäckigkeit in 3 Stufen.";"Generiere diese 3 Hürden:\n1. Standard-Abwehr: 'Er ist in einer Sitzung. Schicken Sie eine Mail.'\n2. Informations-Abwehr: 'Worum geht es denn genau? Haben wir da nicht schon jemanden?'\n3. Finale Prüfung: 'Ich kann ihn kurz fragen, aber machen Sie es spannend.'";"Wurde der Gatekeeper respektvoll behandelt? War der Pitch relevant genug?";"[{""icon"":""users"",""text"":""Behandle die Assistenz als Verbündeten, nicht als Hindernis.""},{""icon"":""x"",""text"":""Verkaufe niemals das Produkt am Telefon – nur den Termin.""},{""icon"":""zap"",""text"":""Nenne einen konkreten 'Pain Point', den du löst.""}]";"[{""key"":""target_person"",""label"":""Zielperson"",""type"":""text"",""required"":true},{""key"":""product"",""label"":""Dein Angebot"",""type"":""text"",""required"":true}]";3;3;60;1;0;1;45
8;"Closing: Sack zumachen";"Verkaufsabschluss und Verbindlichkeit.";"**Dein Szenario:**\nDer Kunde zögert kurz vor der Unterschrift. Er ist interessiert, aber unsicher.\n\n**Deine Mission:**\nIsoliere den Einwand. Stelle die Abschlussfrage. Mach den Sack zu.\n\n**Dein Lernziel:**\nClosing-Techniken und aktive Abschlussfragen.";check-circle;intermediate;high-performance-sales;"[""vertrieb""]";SIMULATION;"Du bist ein interessierter Kunde, der aber zögert.\nEinwand: ${objection}.\n\nDu brauchst Sicherheit vor der Unterschrift.";"Generiere 3 Phasen bis zum Ja:\n1. Der Einwand: 'Klingt gut, aber ${objection_text}.'\n2. Das Zögern: 'Ich weiß nicht, ob sich das rechnet.'\n3. Das Signal: 'Okay, wenn Sie mir da entgegenkommen, machen wir es.'";"Wurde der Einwand isoliert und behandelt? Wurde aktiv nach dem Abschluss gefragt?";"[{""icon"":""help-circle"",""text"":""Frage aktiv nach dem Abschluss.""},{""icon"":""filter"",""text"":""Isoliere Einwände ('Ist das der einzige Grund?').""},{""icon"":""zap"",""text"":""Nutze das Wenn-Dann-Closing.""}]";"[{""key"":""objection"",""label"":""Einwand-Typ"",""type"":""select"",""options"":[{""value"":""price"",""label"":""Zu teuer""},{""value"":""timing"",""label"":""Keine Zeit aktuell""},{""value"":""authority"",""label"":""Muss Chef fragen""}]},{""key"":""objection_text"",""label"":""Konkreter Satz"",""type"":""text"",""default"":""das ist uns im Moment einfach zu teuer""}]";3;3;90;1;0;1;50
9;"Preiserhöhung durchsetzen";"Value-Selling in harten Verhandlungen.";"**Dein Szenario:**\nDu musst einem Bestandskunden 10% Preiserhöhung verkünden. Er wird nicht begeistert sein.\n\n**Deine Mission:**\nVerkaufe den Mehrwert (Value), nicht die Kosten. Der Kunde wird drohen. Bleib standhaft, aber biete Optionen.\n\n**Dein Lernziel:**\nPreisstolz und Verteidigung der Marge.";trending-up;advanced;high-performance-sales;"[""vertrieb""]";SIMULATION;"Du bist ein Bestandskunde. Der User will die Preise um 10% erhöhen.\nDu bist absolut nicht begeistert.\nDu durchläufst 3 Phasen.";"Generiere 3 Phasen:\n1. Der Schock: 'Wie bitte? 10%? Das ist ja Wucher!'\n2. Die Drohung: 'Da muss ich mich wohl bei der Konkurrenz umsehen.'\n3. Die Akzeptanz (nur bei Value): 'Na gut, wenn Sie mir garantieren, dass...'";"Wurde der Mehrwert (Value) verkauft statt nur der Preis? Blieb der User standhaft?";"[{""icon"":""shield"",""text"":""Rechtfertige dich nicht für externe Kosten.""},{""icon"":""check"",""text"":""Argumentiere mit dem Nutzen (Value), den der Kunde hat.""},{""icon"":""zap"",""text"":""Biete Alternativen (z.B. Laufzeit) statt Rabatt.""}]";"[]";3;3;90;1;0;1;55
10;"Pitch vor Investoren";"Standhalten im Kreuzverhör.";"**Dein Szenario:**\nDu präsentierst vor kritischen Investoren ('Höhle der Löwen'-Atmosphäre). Sie zerlegen dein Geschäftsmodell.\n\n**Deine Mission:**\nVerteidige dein Modell souverän. Lass dich von aggressiven Fragen zu Zahlen nicht verunsichern.\n\n**Dein Lernziel:**\nStressresistenz und Argumentationssicherheit unter Druck.";briefcase;advanced;karriere-placement;"[""karriere"",""vertrieb""]";SIMULATION;"Du bist ein skeptischer Investor (Typ 'Höhle der Löwen').\nDer User pitcht eine Idee.\nDu zerlegst das Modell.";"Generiere 3 kritische Fragen:\n1. Markt: 'Der Markt ist doch vollkommen übersättigt. Wer braucht das?'\n2. Zahlen: 'Ihre Bewertung ist völlig utopisch. Wie rechtfertigen Sie das?'\n3. Skalierung: 'Das funktioniert nett als Hobby, aber wie wollen Sie damit Millionen machen?'";"Wurden die Zahlen souverän verteidigt? Blieb der User ruhig bei Angriffen?";"[{""icon"":""shield"",""text"":""Nimm Kritik sportlich, nicht persönlich.""},{""icon"":""x"",""text"":""Rate niemals Zahlen. Liefere sie lieber nach.""},{""icon"":""zap"",""text"":""Antworte 'Bottom Line Up Front' (Ergebnis zuerst).""}]";"[]";3;3;60;1;0;1;60
